burst_size_DIP,replicate_id,seed,peak_IFN,t_peak_IFN,scenario
1200,1,-1,0.316778,133,baseline
1200,1,-1,0.251599,96,baseline
1200,1,-1,0.299098,88,baseline
1200,1,-1,0.283072,118,baseline
1200,1,-1,0.30202,164,baseline
1200,1,-1,0.207565,139,baseline
1200,1,-1,0.255525,73,baseline
1200,1,-1,0.312811,83,baseline
1200,1,-1,0.33748,83,baseline
1200,1,-1,0.278433,149,baseline
1200,1,-1,0.313204,147,baseline
1200,1,-1,0.32117,130,baseline
1200,1,-1,0.354944,91,baseline
1200,1,-1,0.183238,119,baseline
1200,1,-1,0.277099,102,baseline
1200,1,-1,0.285099,91,baseline
1200,1,-1,0.279128,94,baseline
1200,1,-1,0.332605,106,baseline
1200,1,-1,0.328251,97,baseline
1200,1,-1,0.319477,104,baseline
1200,1,-1,0.368229,98,baseline
1200,1,-1,0.304992,174,baseline
1200,1,-1,0.308763,159,baseline
1200,1,-1,0.293694,105,baseline
1300,1,-1,0.277598,120,baseline
1300,1,-1,0.260884,198,baseline
1300,1,-1,0.263727,116,baseline
1300,1,-1,0.311384,164,baseline
1300,1,-1,0.239589,182,baseline
1300,1,-1,0.42073,83,baseline
1300,1,-1,0.285714,147,baseline
1300,1,-1,0.329457,102,baseline
1300,1,-1,0.277666,164,baseline
1300,1,-1,0.324571,90,baseline
1300,1,-1,0.287087,100,baseline
1300,1,-1,0.371728,154,baseline
1300,1,-1,0.24306,99,baseline
1300,1,-1,0.305227,111,baseline
1300,1,-1,0.319668,91,baseline
1300,1,-1,0.266707,91,baseline
1300,1,-1,0.260493,147,baseline
1300,1,-1,0.316263,118,baseline
1300,1,-1,0.241311,116,baseline
1300,1,-1,0.311163,96,baseline
1300,1,-1,0.216345,65,baseline
1300,1,-1,0.251941,142,baseline
1300,1,-1,0.267847,177,baseline
1300,1,-1,0.271358,181,baseline
1300,1,-1,0.267568,106,baseline
1300,1,-1,0.325626,100,baseline
1300,1,-1,0.27079,87,baseline
1300,1,-1,0.277426,96,baseline
1300,1,-1,0.301651,144,baseline
1300,1,-1,0.250035,114,baseline
1400,1,-1,0.27023,99,baseline
1400,1,-1,0.259919,77,baseline
1400,1,-1,0.230052,174,baseline
1400,1,-1,0.297824,158,baseline
1400,1,-1,0.280088,113,baseline
1400,1,-1,0.217133,114,baseline
1400,1,-1,0.213371,196,baseline
1400,1,-1,0.226273,85,baseline
1400,1,-1,0.26134,109,baseline
1400,1,-1,0.307492,223,baseline
1400,1,-1,0.268286,115,baseline
1400,1,-1,0.284343,261,baseline
1400,1,-1,0.284664,170,baseline
1400,1,-1,0.274378,127,baseline
1400,1,-1,0.257584,85,baseline
1400,1,-1,0.239138,103,baseline
1400,1,-1,0.239387,196,baseline
1400,1,-1,0.252223,96,baseline
1400,1,-1,0.219666,117,baseline
1400,1,-1,0.295112,92,baseline
1400,1,-1,0.298296,99,baseline
1400,1,-1,0.273941,137,baseline
1400,1,-1,0.283008,130,baseline
1400,1,-1,0.274088,108,baseline
1400,1,-1,0.289122,94,baseline
1400,1,-1,0.238367,124,baseline
1400,1,-1,0.282889,113,baseline
1400,1,-1,0.222297,84,baseline
1400,1,-1,0.296561,139,baseline
1400,1,-1,0.290372,92,baseline
1500,1,-1,0.238118,107,baseline
1500,1,-1,0.282847,135,baseline
1500,1,-1,0.194221,92,baseline
1500,1,-1,0.282851,76,baseline
1500,1,-1,0.275777,155,baseline
1500,1,-1,0.277927,121,baseline
1500,1,-1,0.329138,157,baseline
1500,1,-1,0.34573,83,baseline
